Weather,latitude,longitude,Ship_Type,Accident_Type
양호,36.03333333,129.5777778,어선,침수
양호,35.06666667,129,어선,화재
양호,29.28333333,126.3666667,어선,기관이상
양호,35.01666667,125.3833333,어선,기관이상
양호,36.12666667,126.2138889,어선,기관이상
황천3급,37.96944444,128.7661111,어선,충돌
황천5급,35.41888889,129.9247222,어선,충돌
황천5급,32.28138889,126.4086111,어선,기관이상
양호,35.08333333,129.1166667,어선,기관이상
양호,35.93888889,126.5166667,어선,침수
황천4급,37.35222222,129.3166667,화물선,기관이상
풍랑주의보,38.12527778,128.6333333,어선,운항저해
풍랑주의보,35.83333333,131.8166667,어선,기관이상
양호,34.05,125.2,어선,기관이상
황천5급,33.35888889,126.96,어선,기관이상
양호,37.2,126.4333333,어선,기관이상
양호,35.11111111,128.6838889,어선,전복
양호,37.35277778,129.6652778,어선,기관이상
양호,35.13527778,129.2083333,어선,기관이상
양호,38.07833333,128.6997222,어선,기관이상
양호,34.71666667,128.4833333,어선,기관이상
양호,34.57777778,127.7197222,기타,화재
양호,35.05638889,128.6972222,어선,기관이상
양호,35.99583333,126.7144444,어선,침수
양호,38.21083333,128.6330556,어선,기관이상
풍랑주의보,37.31666667,125.9833333,어선,기관이상
황천4급,37.03333333,134.6666667,어선,화재
양호,28.45,125.4,어선,기관이상
양호,34.08333333,125.2166667,어선,기관이상
양호,37.96861111,124.7472222,어선,화재
양호,35.63333333,129.5,어선,화재
양호,34.38638889,125.9705556,화물선,운항저해
양호,34.84111111,128.2130556,어선,기관이상
양호,36.55,129.5833333,어선,화재
양호,35.98333333,128.7833333,어선,기관이상
황천5급,33.45,127.1666667,어선,충돌
황천5급,32.43333333,125.55,어선,기관이상
양호,35.86666667,129.5166667,어선,충돌
양호,28.93333333,125.5833333,어선,충돌
양호,34.75638889,126.2361111,기타,기관이상
양호,35.08833333,129.0944444,화물선,운항저해
양호,37.23333333,129.6,어선,침수
양호,35.13472222,128.6730556,어선,화재
양호,35.39194444,129.3641667,어선,충돌
양호,37.36666667,126.5333333,어선,기관이상
양호,34.61805556,128.5472222,어선,기관이상
양호,37.23333333,126.4333333,어선,기관이상
양호,34.83305556,128.3911111,어선,침수
양호,36.78333333,126.0213889,어선,침수
양호,34.91666667,126.2,기타,기관이상
양호,37.985,128.8236111,어선,화재
양호,35.97722222,126.51,관공선,침수
풍랑주의보,33.48055556,127.4416667,화물선,기관이상
황천5급,34.55,128.1,어선,충돌
황천4급,37.49777778,126.7152778,예부선,전복
양호,34.95,128.8286111,어선,기관이상
양호,34.51388889,127.2138889,화물선,침수
양호,37.30694444,129.3138889,어선,기관이상
양호,34.86777778,127.7763889,어선,충돌
양호,35.13388889,128.6,어선,기관이상
양호,34.95555556,129.0555556,어선,기관이상
양호,34.79833333,126.4402778,어선,운항저해
양호,35.06666667,128.9055556,어선,운항저해
양호,35.35,130.3666667,어선,기관이상
양호,34.78333333,128.2,어선,기관이상
양호,37.78722222,126.3472222,예부선,전복
양호,36.97777778,126.3111111,모터보트,침수
황천5급,33.23888889,126.8805556,유조선,충돌
양호,30.38333333,127.7166667,어선,기관이상
양호,35.55,126.3333333,어선,침수
양호,36.16666667,126.4666667,어선,운항저해
양호,35.6,126.45,어선,침수
풍랑주의보,33.25,126.7,예부선,운항저해
양호,34.71611111,128.5855556,어선,화재
양호,37.26,126.4255556,어선,운항저해
양호,36.88333333,129.4166667,기타,기관이상
양호,37.41666667,129.2305556,기타,침수
황천5급,35.47777778,129.3822222,어선,운항저해
양호,34.35277778,126.1888889,기타,침수
양호,34.63472222,128.4711111,어선,운항저해
양호,34.84444444,128.4333333,어선,침수
양호,34.78333333,126.3838889,어선,침수
저시정,35.02444444,126.205,기타,기관이상
양호,35.12722222,128.6986111,어선,전복
양호,34.95,127.8833333,어선,침수
양호,37.84722222,128.8888889,기타,침수
황천4급,35.81388889,131.7305556,어선,화재
양호,35.98083333,129.615,어선,침수
양호,35.83333333,129.55,어선,기관이상
양호,37.97805556,128.8138889,어선,기관이상
풍랑주의보,30.58333333,127.55,어선,기관이상
풍랑주의보,33.68333333,126,어선,기관이상
풍랑주의보,37.24722222,126.1111111,어선,침수
황천4급,37.78333333,130.3,어선,기관이상
양호,33.43333333,125.1166667,어선,기관이상
양호,36.68333333,129.7666667,어선,기관이상
양호,35.35,130.3,어선,기관이상
양호,35.12583333,129.1544444,모터보트,기관이상
양호,35.19333333,126.2527778,어선,기관이상
양호,35.00138889,128.7516667,기타,기관이상
양호,36.37277778,126.1344444,어선,기관이상
양호,35.65,126.0883333,어선,침수
양호,32.31666667,126.8333333,어선,기관이상
양호,35.13416667,129.1516667,어선,충돌
양호,30.66666667,127.5333333,어선,기관이상
양호,35.8425,126.4547222,어선,침수
양호,34.16666667,126.6166667,기타,침수
양호,34.92166667,127.8386111,기타,운항저해
양호,35.50111111,130.2844444,어선,기관이상
양호,37.36666667,126.5166667,어선,기관이상
양호,34.42583333,127.2566667,어선,전복
양호,37.11666667,126,여객선,기관이상
양호,32.16388889,126.2,어선,기관이상
양호,33.875,125.8527778,어선,기관이상
양호,35.07194444,129.0183333,어선,운항저해
양호,35.38166667,129.3527778,어선,운항저해
저시정,35.93333333,126.5166667,어선,침수
양호,35.61666667,126.4166667,어선,침수
양호,34.77222222,128.4716667,어선,침수
양호,33.56666667,126.6333333,어선,기관이상
양호,35.49833333,129.3722222,기타,전복
양호,36.34555556,126.5130556,어선,침수
양호,35.01666667,128.6661111,어선,기관이상
양호,37.54527778,129.1169444,어선,화재
양호,35.87361111,126.3322222,모터보트,운항저해
양호,35.47333333,129.3916667,어선,기관이상
풍랑주의보,33.18416667,125.75,어선,화재
풍랑주의보,33.24388889,126.5675,어선,운항저해
양호,34.24027778,125.2255556,어선,전복
양호,38.05555556,128.8305556,어선,충돌
양호,34.83388889,126.2519444,어선,기관이상
양호,36.63305556,126.1255556,어선,기관이상
양호,33.25,125.1666667,기타,기관이상
양호,35.3875,129.355,어선,기관이상
양호,37.45,126.5666667,여객선,기관이상
풍랑주의보,31.4,126.1666667,어선,기관이상
풍랑주의보,35.9,129.5833333,어선,기관이상
저시정,37.33944444,126.5055556,유조선,충돌
양호,34.58666667,127.7752778,어선,침수
양호,34.30138889,124.3,관공선,기관이상
황천5급,33.46666667,126.9166667,어선,화재
양호,34.38611111,127.2858333,어선,기관이상
